# File: L102.load_segments.csv
# Title: Defines the relative shape of each load segment by grid_region based on FERC hourly data
# Units: %
# Source: preprocessed FERC hourly data
# Column types: ccinn
# ----------
grid_region,segment,hours,generation.fraction,relative.generation
Texas grid,Apr_day,390,0.039328779,0.498523146
Texas grid,Apr_night,330,0.028014681,0.419673169
Texas grid,Aug_day,393,0.065012829,0.817797882
Texas grid,Aug_night,341,0.044970781,0.651951836
Texas grid,Dec_day,341,0.035467623,0.51418236
Texas grid,Dec_night,403,0.040072156,0.491560671
Texas grid,Feb_day,308,0.034991898,0.561637689
Texas grid,Feb_night,364,0.039535185,0.536935172
Texas grid,Jan_day,341,0.038445463,0.557352791
Texas grid,Jan_night,403,0.043430346,0.532755217
Texas grid,Jul_day,429,0.063907654,0.736436059
Texas grid,Jul_night,315,0.037597716,0.590052119
Texas grid,Jun_day,450,0.067520243,0.741755798
Texas grid,Jun_night,270,0.032020963,0.586286756
Texas grid,Mar_day,371,0.036271369,0.48331414
Texas grid,Mar_night,373,0.032869955,0.435641995
Texas grid,May_day,405,0.051149335,0.624344706
Texas grid,May_night,339,0.034106338,0.497364591
Texas grid,Nov_day,330,0.033031572,0.494828568
Texas grid,Nov_night,390,0.035049485,0.44427973
Texas grid,Oct_day,341,0.038046771,0.551572867
Texas grid,Oct_night,403,0.036857762,0.452130062
Texas grid,Sep_day,384,0.053331241,0.686578077
Texas grid,Sep_night,336,0.03694702,0.543600187
Texas grid,superpeak,10,0.002022835,1
