# File: eia_operators_nerc_region_mapping.csv
# Title: Convert EIA Operator ID to NERC region
# Units: NA
# Column types: cc
# ----------
Operator ID,NERC Region
5610,RFC
19365,FRCC
14306,SERC
50033,RFC
16764,WECC
50168,NPCC
22175,SERC
13727,NPCC
18121,NPCC
6495,NPCC
55985,WECC
55759,WECC
55761,WECC
17288,WECC
9297,WECC
1966,NPCC
2696,WECC
8303,WECC
26840,WECC
23576,NPCC
49751,WECC
55963,WECC
17355,SPP
4172,WECC
49942,RFC
54843,RFC
54842,NPCC
54843,SERC
54842,TRE
54842,SERC
54842,WECC
54842,FRCC
54842,RFC
56388,WECC
39245,WECC
21025,RFC
13008,MRO
54876,MRO
18000,NPCC
15174,WECC
12736,WECC
6090,SERC
56392,SERC
5519,RFC
19691,RFC
4482,FRCC
4476,WECC
4498,WECC
54823,MRO
56225,WECC
56225,SERC
16653,MRO
15262,SERC
4497,RFC
4474,NPCC
4484,NPCC
1950,NPCC
19194,NPCC
2598,NPCC
9097,NPCC
49760,RFC
4425,SERC
56316,SPP
13982,NPCC
4487,NPCC
4496,SERC
4427,NPCC
14519,FRCC
14395,WECC
18801,WECC
14155,WECC
56837,NPCC
4211,NPCC
17902,NPCC
10308,WECC
18814,WECC
19511,ASCC
10127,WECC
19765,NPCC
22696,WECC
2836,RFC
54832,SERC
19517,RFC
19370,SERC
19519,RFC
19526,RFC
3836,NPCC
15085,NPCC
15213,NPCC
18020,NPCC
14182,NPCC
2871,WECC
23005,WECC
54713,WECC
164,WECC
13938,WECC
19013,NPCC
29615,NPCC
56764,WECC
50131,WECC
19121,NPCC
19781,RFC
19900,RFC
54827,FRCC
14432,RFC
21148,RFC
55914,RFC
18153,NPCC
27718,FRCC
20505,SERC
55973,WECC
18162,SERC
18157,FRCC
18155,SERC
18158,RFC
29820,MRO
18147,SERC
55879,TRE
38127,WECC
56545,WECC
19314,WECC
13876,WECC
13904,NPCC
18414,RFC
16899,WECC
56097,SERC
49905,WECC
14265,WECC
56835,WECC
8633,FRCC
4447,RFC
10162,RFC
16636,WECC
16506,WECC
20541,FRCC
55871,FRCC
49932,WECC
56813,RFC
20508,SERC
8,RFC
6675,RFC
21964,WECC
14222,NPCC
17105,RFC
10766,NPCC
12502,WECC
5959,RFC
3770,WECC
21773,WECC
5089,MRO
49801,MRO
3179,RFC
20854,MRO
20680,RFC
5187,WECC
10657,WECC
55855,WECC
49893,FRCC
21734,WECC
5623,NPCC
23931,SERC
4440,RFC
17321,WECC
2844,WECC
472,WECC
18323,RFC
2868,WECC
34359,SERC
19216,FRCC
11716,WECC
12981,SERC
14932,FRCC
24202,NPCC
3220,WECC
17711,WECC
17150,WECC
9227,RFC
11637,MRO
3930,WECC
6996,WECC
2512,SERC
11415,SERC
54824,NPCC
2371,NPCC
27769,NPCC
10714,NPCC
8688,NPCC
56601,NPCC
5347,SERC
10875,FRCC
24263,MRO
5310,SERC
29767,RFC
16001,NPCC
3608,HICC
2091,SERC
9512,RFC
12920,NPCC
2509,RFC
4713,RFC
19724,SERC
4277,SERC
56355,SERC
15694,MRO
19153,NPCC
8153,NPCC
15927,WECC
15927,TRE
7538,RFC
22337,TRE
22218,RFC
19524,WECC
49731,WECC
22652,TRE
55732,RFC
13484,NPCC
49732,WECC
18340,RFC
50163,SERC
4361,WECC
15359,WECC
5338,TRE
429,SPP
56079,WECC
44466,RFC
17566,TRE
18668,MRO
8009,SERC
19063,WECC
3221,WECC
12320,SERC
12303,RFC
9424,SERC
9348,SERC
11290,WECC
19827,WECC
4034,NPCC
24210,NPCC
12687,WECC
42659,RFC
56677,WECC
7168,SERC
15300,TRE
18617,ASCC
21130,WECC
6359,WECC
4202,SPP
56605,RFC
26977,WECC
14359,WECC
56552,WECC
17610,SERC
12380,WECC
12716,WECC
11295,WECC
6838,NPCC
55808,SERC
11127,NPCC
19528,RFC
21020,SERC
14584,NPCC
16073,RFC
9261,NPCC
55740,SERC
9390,SERC
9312,SPP
9393,SERC
9385,SPP
54738,MRO
9350,NPCC
9382,SERC
7172,SERC
5033,RFC
5262,SPP
49748,WECC
10349,NPCC
56839,NPCC
50136,NPCC
7595,NPCC
4129,RFC
56597,NPCC
13587,NPCC
9434,MRO
12704,SERC
56616,RFC
491,MRO
2053,SERC
22296,WECC
6738,MRO
7209,NPCC
5989,NPCC
2999,RFC
14928,NPCC
10339,SERC
11233,SERC
3468,WECC
13542,RFC
42744,WECC
21944,WECC
17897,MRO
4436,WECC
11459,WECC
16553,WECC
19541,SERC
9394,SERC
31518,SPP
8248,MRO
30067,RFC
35006,SERC
2670,TRE
18981,MRO
1752,WECC
4579,WECC
12382,NPCC
1735,SERC
20523,ASCC
8365,WECC
54722,WECC
7067,WECC
7375,SPP
55810,SERC
18452,SERC
27770,NPCC
56773,WECC
17052,TRE
2468,RFC
12986,RFC
15734,WECC
16098,TRE
18912,RFC
10099,WECC
18483,FRCC
20857,NPCC
9353,SERC
50034,SERC
50035,SERC
50036,TRE
49901,FRCC
13898,WECC
22208,WECC
50081,NPCC
24205,WECC
4207,NPCC
10347,NPCC
11082,WECC
3682,WECC
326,NPCC
5385,WECC
56372,NPCC
18028,MRO
4823,NPCC
4732,WECC
9765,MRO
55600,RFC
19553,ASCC
10545,FRCC
15434,NPCC
7043,SERC
204,SERC
49976,WECC
38215,WECC
49963,WECC
4119,SERC
56108,TRE
16024,SERC
14184,FRCC
22297,WECC
22048,WECC
50025,SERC
31216,NPCC
16968,WECC
14173,WECC
547,SERC
30038,RFC
1851,WECC
4566,NPCC
6564,SERC
6831,TRE
8705,RFC
8862,WECC
26003,RFC
11362,NPCC
5499,SERC
17604,MRO
17887,FRCC
17927,FRCC
56355,RFC
29959,WECC
20328,RFC
26642,NPCC
17254,NPCC
6652,NPCC
6529,SERC
4222,RFC
56375,WECC
11169,WECC
7092,NPCC
21116,SERC
13943,RFC
5892,RFC
9451,NPCC
54838,NPCC
16729,NPCC
50026,WECC
34514,NPCC
49969,NPCC
16839,NPCC
55994,WECC
56478,RFC
21621,NPCC
20838,TRE
21622,TRE
4417,SERC
14995,NPCC
12411,FRCC
56646,RFC
13060,WECC
13492,FRCC
14925,WECC
54839,WECC
16793,RFC
56137,RFC
56160,RFC
9989,HICC
7193,WECC
18232,SERC
9210,SERC
55793,NPCC
18031,WECC
3670,WECC
11782,WECC
6527,WECC
17664,SERC
5374,TRE
4660,SERC
6371,SERC
24206,WECC
18458,RFC
49919,WECC
54842,MRO
29925,SERC
8927,RFC
12827,RFC
361,MRO
56189,MRO
20100,WECC
16070,WECC
17020,SERC
8453,RFC
14989,WECC
19102,SERC
11392,SERC
335,SERC
22269,WECC
55928,WECC
56291,SERC
10723,WECC
7477,RFC
8503,WECC
50102,SERC
5178,SERC
11329,NPCC
19539,MRO
14030,SPP
19528,SERC
21148,SERC
17283,NPCC
7564,RFC
6883,RFC
55932,SERC
8683,RFC
34505,MRO
49963,MRO
5277,RFC
16578,WECC
1005,SERC
